Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13782727920,"Mar 4, 2025, 2:08:34 AM",Evening Run,Run,,1490,5.03,172,22,FALSE,,HOKA Mach 5 ❄️,activities/14709978985.fit.gz,,,1490,1452,5035.7,4.38,3.468,0,0,0,0,0,0,,,,,172,154,,,301,,,22,,,,,,,,,,,,,0,,1,5110.6,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.38,0,,,,4268,,,,,,,,,,,,,
13802169791,"Mar 6, 2025, 2:31:04 AM",Evening Run,Run,,1427,5,169,18,FALSE,,HOKA Mach 5 ❄️,activities/14730972428.fit.gz,,,1427,1427,5007.2,4.4,3.509,0,0,0,0,0,0,,,,,169,151,,,296,,,18,,,,,,,,,,,,,0,,1,5007.3,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.509,0,,,,4118,,,,,,,,,,,,,
13828939652,"Mar 9, 2025, 1:47:01 AM",Afternoon Run,Run,,2237,6.12,181,28,FALSE,,HOKA Mach 5 ❄️,activities/14760072894.fit.gz,,,2237,1917,6121.8,7.882,3.193,11,11,16.4,27.4,7.6,0,,,,,181,155,,218,357,,,28,,,,,,,,,202,2239,,,0,,1,6376.6,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,2.737,0,,,,5664,,,117,137,3.326,,,,,,,,
13858218241,"Mar 12, 2025, 1:36:44 AM",Evening Run,Run,,2062,6.02,178,25,FALSE,,HOKA Mach 5 ❄️,activities/14791758608.fit.gz,,,2062,1799,6028.9,5.22,3.351,22.2,20.8,16.8,29,8.4,0,,,,,178,154,,225,351,,,25,,,,,,,,,214,2036,,,0,,1,6211.9,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,2.924,0,,,,5350,,,120,146,3.453,,,,,,,,
13893651209,"Mar 15, 2025, 6:58:58 PM",Palisades @ Tahoe,Alpine Ski,we hate tesla,16491,149.71,166,3,FALSE,,,activities/14829489948.fit.gz,,,16491,804,149715.1,446.064,186.213,134.8,148.8,657.8,2589.2,35.7,0.8,,,,,166,122,,,1861,,,3,,8,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.079,7993.5,,,,,,,,,,,,,,,,,media/6C1B332F-4289-443F-882A-206CEAD9661A.jpg|media/606748E0-5645-451A-81FA-AF2182F93671.jpg|media/0DCBD124-CC29-4686-9CAE-47EAC767D8C1.jpg|media/1357658F-1E45-4CDC-B9A8-2D0B937DE554.jpg|media/073FD885-3BC9-4FE3-958B-B027536B0B98.jpg
13903183697,"Mar 16, 2025, 5:18:41 PM",Slopes - A day skiing at Palisades,Alpine Ski,,18455,20.3,,,FALSE,,,activities/14839829890.fit.gz,,,18455,6483,20299.6,13.986,3.131,1708.2,1840,1889.4,2291.5,49.9,0,,,,,,,,,,,,,,7,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1,4572.9,,,,,,,,,,,,,,,,,media/5FCD0579-7D12-45FE-8082-6517FF426F28.jpg|media/6E053CE7-A4C2-4004-B01E-DEF8A7F3F69A.jpg|media/11265A7E-4162-494E-A5AC-B2218A3422F8.jpg
13959283605,"Mar 22, 2025, 11:27:18 PM",Stanford golf,Golf,,4961,0,122,8,FALSE,,,activities/14900510813.fit.gz,,,4961,4961,0,0,0,0,0,0,0,0,0,,,,,122,91,,,204,,,8,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,media/A9855D5C-DC87-4A8F-AD0B-EEAE1E49FBB5.jpg|media/84A365C8-441F-47BD-B65F-5409CC841BB8.jpg
13978807824,"Mar 25, 2025, 2:10:50 AM",Evening Run,Run,,1791,5.1,187,37,FALSE,,HOKA Mach 5 ❄️,activities/14921467045.fit.gz,,,1791,1529,5103.4,7.537,3.338,16.2,13.2,20,29.8,6.6,0,,,,,187,166,,225,313,,,37,,,,,,,,,213,1793,,,0,,1,5290,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,2.849,0,,,,4502,,,104,145,3.46,,,,,,,,
13989699257,"Mar 26, 2025, 1:37:48 AM",Stanford golf,Golf,28 Celsius bruh,6605,0,135,11,FALSE,,,activities/14933087537.fit.gz,,,6605,6605,0,0,0,0,0,0,0,0,0,,,,,135,89,,,265,,,11,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,media/381AE831-CB67-447F-AF2C-897EFF589CBB.jpg|media/E0E38993-24AB-4F43-8FA5-001D88645C87.jpg|media/F258C79C-8024-46DF-9777-B922C99659D7.jpg
14082325090,"Apr 3, 2025, 12:47:56 AM",Stanford Golf,Golf,,4695,0,102,6,FALSE,,,activities/15031967406.fit.gz,,,4695,4695,0,0,0,0,0,0,0,0,0,,,,,102,80,,,100,,,6,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
